Model Run,FPS,AVG_FPS,FPS,AVG_FPS
0,0,0,0,0
1,9.3,0,9.3,0
2,16.7,0,17.7,0
3,23.7,0,24.8,0
4,30.8,0,32,0
5,36.5,0,37.5,0
6,41.8,0,43.2,0
7,47.3,0,48.5,0
8,52.5,0,52.8,0
9,58.2,0,57,0
10,63.4,0,61.2,0
11,68.2,0,63.8,0
12,72.4,0,67.1,0
13,76.2,0,70,0
14,78.5,0,72.7,0
15,82.1,0,75,0
16,85.6,0,76.8,0
17,88.7,0,77.2,0
18,91.5,0,79.3,0
19,93.8,0,81.2,0
20,95.2,0,82.9,0
21,97.2,0,85,0
22,99,0,87.5,0
23,100.2,0,88.1,0
24,101.5,0,91.3,0
25,102.3,0,94.1,0
26,102.2,0,95.5,0
27,102.8,0,97.4,0
28,103.5,0,99.4,0
29,104.6,0,97.7,0
30,105.4,0,98.7,0
31,106.4,0,100.4,0
32,107.2,0,101.9,0
33,107.8,0,103.5,0
34,107.9,0,105.1,0
35,108.6,0,104,0
36,108.9,0,105.5,0
37,109.4,0,105.9,0
38,108.4,0,106.8,0
39,108.8,0,107.3,0
40,109.1,0,104.9,0
41,108.6,111.4,103.9,0
42,108.7,111.4,103,0
43,109.2,111.4,104,0
44,109.6,111.4,105.2,0
45,110.1,111.4,106.7,0
46,110.6,111.4,107.8,0
47,111.3,111.4,105.6,0
48,111.7,111.4,106.1,0
49,112.4,111.4,106.9,0
50,111.4,111.4,107.6,0
51,111.1,111.4,108.5,0
52,110.8,111.4,106.8,0
53,109,111.4,104.7,0
54,109.8,111.4,106.2,0
55,110.7,111.4,107.3,0
56,110.4,111.4,107.7,0
57,110.3,111.4,108.9,0
58,110.5,111.4,108.8,0
59,110.3,111.4,106.6,0
60,110.7,111.4,107.4,0
61,110.9,111.4,108.3,0
62,109.6,111.4,109.5,0
63,110.2,111.4,110.6,0
64,110.8,111.4,108.5,0
65,110.3,111.4,105.6,0
66,111.1,111.4,106.5,0
67,111.5,111.4,107.2,0
68,111.7,111.4,108.3,0
69,112.4,111.4,108.8,0
70,112.2,111.4,109.8,0
71,113,111.4,107.1,0
72,113.2,111.4,108,0
73,112.9,111.4,109.2,0
74,111.7,111.4,109.7,0
75,111.6,111.4,110.3,0
76,111.7,111.4,108.1,0
77,111.2,111.4,105.5,0
78,112,111.4,106.8,0
79,108.9,111.4,107.5,0
80,109.1,111.4,108.2,0
81,109.9,111.4,108.4,0
82,110.8,111.4,108,0
83,111.6,111.4,105.5,0
84,112.4,111.4,105.8,0
85,112.7,111.4,105.9,0
86,111.7,111.4,106.5,0
87,112.3,111.4,107,0
88,111.9,111.4,104.9,0
89,112.6,111.4,101.7,0
90,113.4,111.4,101.2,0
91,113.8,111.4,102.1,0
92,113.9,111.4,102.1,0
93,113.7,111.4,102.6,0
94,114.3,111.4,103.6,0
95,114.5,111.4,101.5,0
96,115,111.4,102.4,0
97,115.6,111.4,103.1,0
98,114.3,111.4,104.1,0
99,114.9,111.4,105,0
100,114.9,111.4,102.1,0
101,113.3,111.4,100.3,0
102,113.5,111.4,101.6,0
103,114.3,111.4,102.5,0
104,114.7,111.4,103.5,0
105,115.1,111.4,104.3,0
106,115.6,111.4,103.5,0
107,115.7,111.4,101.8,0
108,116.3,111.4,102.5,0
109,116.5,111.4,103.4,0
110,115.1,111.4,103.9,0
111,114.4,111.4,104.7,0
112,113.9,111.4,103.2,0
113,114.1,111.4,101,0
114,114.7,111.4,102.6,0
115,115.3,111.4,103,0
116,115.7,111.4,103.8,0
117,115.6,111.4,104.2,0
118,115.5,111.4,105,0
119,115.7,111.4,102.5,0
120,116.1,111.4,103.4,0
121,116.1,111.4,104.4,0
122,114.7,111.4,104.9,0
123,115,111.4,106,0
124,115,111.4,104,0
125,114,111.4,101.9,0
126,114.1,111.4,101.5,0
127,113.7,111.4,100.7,0
128,114,111.4,100.2,0
129,114.1,111.4,99.8,0
130,113.9,111.4,100.9,0
131,114,111.4,99.4,0
132,114.6,111.4,101,0
133,113.7,111.4,101.7,0
134,112.3,111.4,103,0
135,112.6,111.4,104.3,0
136,113.2,111.4,103,0
137,112.6,111.4,100.1,0
138,113.2,111.4,100.7,0
139,113.6,111.4,102.3,0
140,113.9,111.4,103.6,0
141,113.2,111.4,104.3,0
142,114,111.4,105.5,0
143,114.3,111.4,103.6,0
144,113.7,111.4,104.9,0
145,114.3,111.4,105.4,0
146,113.3,111.4,106.3,0
147,113.7,111.4,107.1,0
148,114.3,111.4,105.3,0
149,113.1,111.4,103,0
150,113.7,111.4,103.9,0
151,113.9,111.4,105.1,0
152,114,111.4,105.6,0
153,114.2,111.4,106.1,0
154,113.9,111.4,105.1,0
155,113.8,111.4,102.8,0
156,113.9,111.4,102.7,0
157,114.2,111.4,102.8,0
158,112.8,111.4,103.3,0
159,112.5,111.4,104,0
160,113.3,111.4,102.6,0
161,113.8,111.4,100.8,0
162,114.1,111.4,102.7,0
163,113.9,111.4,104.2,0
164,114.1,111.4,105.7,0
165,114,111.4,105.8,0
166,114.4,111.4,106.6,0
167,114.2,111.4,104.8,0
168,114.5,111.4,106.4,0
169,114.3,111.4,107.4,0
170,112.7,111.4,108.4,0
171,113,111.4,109.4,0
172,112.3,111.4,107,0
173,111.7,111.4,104.9,0
174,112.5,111.4,104.9,0
175,113,111.4,104.6,0
176,112.6,111.4,104.8,0
177,113.4,111.4,104.7,0
178,112.8,111.4,104.9,0
179,112.5,111.4,102.4,0
180,113.1,111.4,102.2,0
181,113.7,111.4,103.1,0
182,112.3,111.4,104,0
183,112,111.4,101.6,0
184,111.8,111.4,99.5,0
185,112.2,111.4,96.5,0
186,112.8,111.4,96.3,0
187,113.4,111.4,97.3,0
188,113.3,111.4,97.9,0
189,113.8,111.4,98.6,0
190,113.9,111.4,95.9,0
191,113.5,111.4,93.7,0
192,113.9,111.4,93,0
193,114.4,111.4,93.1,0
194,113.1,111.4,95.4,0
195,112.6,111.4,95.9,0
196,110.8,111.4,94.2,0
197,110.6,111.4,92.7,0
198,110.2,111.4,94.5,0
199,111.1,111.4,95.3,0
200,111.5,111.4,96.6,0
